,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Concepts,Revenue best captures…,Select the correct answer.,Multiple Choice,1,Total sales before expenses (top line),Cash in the bank only,Owner’s residual claim,Marketing slogans,,,,
,Concepts,Net income is best described as…,Select the correct answer.,Multiple Choice,2,Cash sitting in the bank,Accounting profit after expenses,Total assets,Share count,,,,
,Concepts,Cash from operations vs net income — which is true?,Select the correct answer.,Multiple Choice,3,They are always identical,Cash flow never matters,They can diverge; cash ≠ profit,Liabilities equal revenue,,,,
,Concepts,Assets on the balance sheet roughly mean…,Select the correct answer.,Multiple Choice,1,Resources the company controls,Only tomorrow’s revenue,Money owed to lenders only,Chart wicks,,,,
,Concepts,Liabilities are…,Select the correct answer.,Multiple Choice,2,Owner’s residual claim,Obligations / claims by others,Marketing slogans,Candlestick patterns,,,,
,Concepts,Simple P/E is closest to…,Select the correct answer.,Multiple Choice,1,Price ÷ earnings,Revenue ÷ assets,Cash ÷ liabilities,RSI ÷ SMA,,,,
,Concepts,Net margin equals…,Select the correct answer.,Multiple Choice,3,Assets ÷ liabilities,Price ÷ revenue,Net income ÷ revenue,Volume ÷ open,,,,
,Concepts,Free cash flow approximates…,Select the correct answer.,Multiple Choice,1,Cash left after operating needs / sustaining reinvestment,Marketing budget only,Share count,Pip size,,,,
,Concepts,"If net income is positive but operating cash is weak, a careful reader…",Select the correct answer.,Multiple Choice,2,Ignores cash forever,Asks why cash and profit diverge,Assumes fraud automatically,Buys 10x leverage,,,,
,FIB,___ = price per share ÷ earnings per share (simple teaching form).,Select the answer that best fills the blank.,Fill in the blank,1,P/E,RSI,MACD,Doji,,,,
,TF,Net income is always identical to cash in the bank.,Select True or False.,True False,2,True,False,,,,,,
,TF,Equity on the balance sheet is the residual claim after liabilities.,Select True or False.,True False,1,True,False,,,,,,
,SATA,Which are income-statement ideas? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,4",Revenue,Net income,Assets,Net margin,Candlestick hammer,,,
,Flash,"Revenue
====
Top-line sales before expenses.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Flash,"Free cash flow
====
Cash generated after operating needs and sustaining investment — flexibility cue (SAMPLE teaching).","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match statement line to meaning.,Drag items into matching slots.,Mix and match,N/A,"Revenue
===
Top-line sales","Net income
===
Profit after expenses","Assets
===
Resources controlled","Liabilities
===
Obligations to others","P/E
===
Price ÷ earnings",,,
,Application,Net margin falling while revenue rises most likely invites questions about…,Select the correct answer.,Multiple Choice,1,Costs or mix eating profitability,Assets disappearing overnight as a certainty,P/E becoming cash,Doji wicks only,,,,
,Application,P/E rises solely because earnings fell (price flat). That means…,Select the correct answer.,Multiple Choice,2,The company printed cash,You pay more per unit of earnings,Liabilities vanished,RSI hit 100,,,,
