,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5
,Strip 1,../../hosted-strips/normal-sinus-rhythm.gif,Identify the rhythm on this strip.,Picture,2,Second Degree Heart Block Type II,Normal Sinus Rhythm,Sinus Arrhythmia,Junctional Escape Rhythm,
,Strip 2,../../hosted-strips/sinus-bradycardia.gif,Identify the rhythm on this strip.,Picture,3,Sinus Pause,Second Degree Heart Block Type II,Sinus Bradycardia,Premature Atrial Complex,
,Strip 3,../../hosted-strips/sinus-tachycardia.gif,Identify the rhythm on this strip.,Picture,2,Accelerated Junctional Rhythm,Sinus Tachycardia,Premature Junctional Complex,Normal Sinus Rhythm,
,Strip 4,../../hosted-strips/sinus-arrhythmia.gif,Identify the rhythm on this strip.,Picture,2,Junctional Escape Beat,Sinus Arrhythmia,Wolff-Parkinson-White Syndrome,Accelerated Junctional Rhythm,
,Strip 5,../../hosted-strips/sinus-arrest.gif,Identify the rhythm on this strip.,Picture,3,Junctional Escape Beat,Wandering Atrial Pacemaker,Sinus Arrest,Failure to Pace,
,Strip 6,../../hosted-strips/sinus-exit-block.gif,Identify the rhythm on this strip.,Picture,1,Sinus Exit Block,Atrial Fibrillation,Premature Junctional Complex,Sinus Pause,
,Strip 7,../../hosted-strips/sinus-pause.gif,Identify the rhythm on this strip.,Picture,2,Failure to Pace,Sinus Pause,Third Degree Heart Block,Atrial Fibrillation,
,Strip 8,../../hosted-strips/premature-atrial-complex.gif,Identify the rhythm on this strip.,Picture,4,Premature Junctional Complex,Sinus Tachycardia,Junctional Escape Beat,Premature Atrial Complex,
,Strip 9,../../hosted-strips/wandering-atrial-pacemaker.gif,Identify the rhythm on this strip.,Picture,2,Bundle Branch Block,Wandering Atrial Pacemaker,Atrioventricular (Sequential) Pacemaker Rhythm,Supraventricular Tachycardia,
,Strip 10,../../hosted-strips/multifocal-atrial-tachycardia.gif,Identify the rhythm on this strip.,Picture,2,Junctional Escape Rhythm,Multifocal Atrial Tachycardia,Atrial Pacemaker Rhythm,Sinus Pause,
,Strip 11,../../hosted-strips/atrial-flutter.gif,Identify the rhythm on this strip.,Picture,1,Atrial Flutter,Junctional Tachycardia,Wandering Atrial Pacemaker,Junctional Escape Beat,
