,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Concepts,A Doji typically signals…,Select the correct answer.,Multiple Choice,2,Guaranteed trend continuation forever,Indecision (open ≈ close),Only bullish reversal,Only bearish reversal,,,,Neutral / indecision
,Concepts,A Hammer is best described as…,Select the correct answer.,Multiple Choice,1,Bullish reversal with a long lower shadow,Bearish top with long upper shadow,Three-peak pattern,Volatility bands around SMA,,,,
,Concepts,Bullish Engulfing means…,Select the correct answer.,Multiple Choice,3,RSI crossed 70,A bond matured,A large green body fully overlaps the prior small red body,Open equals close with no wicks,,,,
,Concepts,Bearish Engulfing means…,Select the correct answer.,Multiple Choice,1,Red body fully engulfs prior green body,Long lower wick only,Three green stars,SMA slope only,,,,
,Concepts,A Shooting Star is typically…,Select the correct answer.,Multiple Choice,2,Bullish bottom reversal,"Bearish top reversal (long upper shadow, small body at bottom)",A forex pip calculator,An earnings filing,,,,
,Concepts,An Inverted Hammer (after a downtrend) is generally…,Select the correct answer.,Multiple Choice,1,Bullish bottom reversal signal,Identical to a guaranteed short,A balance-sheet liability,A LIVE options chain,,,,
,Concepts,Morning Star is…,Select the correct answer.,Multiple Choice,3,One doji only,A volatility squeeze only,A three-candle bullish reversal at the bottom of a downtrend,A head-and-shoulders top,,,,
,Concepts,Head and Shoulders is a…,Select the correct answer.,Multiple Choice,2,Bullish continuation wedge,Bearish reversal with three peaks (center highest),Cash-flow statement line,Currency pair,,,,
,Concepts,Falling Wedge in the registry is typed as…,Select the correct answer.,Multiple Choice,1,Continuation (converging downward trendlines),Ownership share,Options Greek,Bank CD,,,,
,FIB,A ___ shows open and close nearly equal — classic indecision.,Select the answer that best fills the blank.,Fill in the blank,1,Doji,Liability,Pip,Coupon,,,,
,TF,A Hammer’s long lower shadow suggests sellers pushed down but buyers reclaimed control.,Select True or False.,True False,1,True,False,,,,,,
,TF,Shooting Star and Inverted Hammer share a similar shape but differ by location/context (top vs bottom).,Select True or False.,True False,1,True,False,,,,,,
,SATA,Which patterns are listed as bullish reversals in the trainer registry? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,3,4",Hammer,Shooting Star,Morning Star,Inverted Hammer,Head and Shoulders,,,
,Flash,"Doji
====
Indecision in the market with equal (or nearly equal) open/close.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Flash,"Morning Star
====
Three-candle bullish reversal pattern at the bottom of a downtrend.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match pattern to description.,Drag items into matching slots.,Mix and match,N/A,"Hammer
===
Long lower shadow; bullish reversal","Shooting Star
===
Long upper shadow; bearish top reversal","Engulfing
===
Current body covers previous body","Head and Shoulders
===
Three peaks; center highest",,,,
,Application,"After a downtrend, a candle prints a long lower wick and small body near the high. Best label?",Select the correct answer.,Multiple Choice,2,Shooting Star,Hammer,Head and Shoulders,Falling Wedge,,,,
,Picture,../../public/assets/patterns/markets/morning-star.svg,Identify the candlestick pattern shown.,Picture,1,Morning Star,Doji,Shooting Star,Falling Wedge,,,,Trainer SVG — three-candle bullish reversal
,Picture,../../public/assets/patterns/markets/bullish-engulfing.svg,Identify the candlestick pattern shown.,Picture,2,Hammer,Bullish Engulfing,Head and Shoulders,Doji,,,,Trainer SVG — green body overlaps prior red
,Picture,../../public/assets/patterns/markets/head-shoulders.svg,Identify the candlestick pattern shown.,Picture,3,Morning Star,Falling Wedge,Head and Shoulders,Hammer,,,,"Trainer SVG — three peaks, center highest"
,Picture,../../public/assets/patterns/markets/falling-wedge.svg,Identify the candlestick pattern shown.,Picture,1,Falling Wedge,Bullish Engulfing,Shooting Star,Morning Star,,,,Trainer SVG — converging downward trendlines
,Picture,https://upload.wikimedia.org/wikipedia/commons/e/ec/Candlestick_pattern_hammer.svg,Identify the candlestick pattern shown.,Picture,1,Hammer,Shooting Star,Doji,Bearish Engulfing,,,,Wikimedia CC0 — long lower shadow bullish reversal
