,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Concepts,What is a share of stock?,Select the correct answer.,Multiple Choice,2,A loan to a company,An ownership unit in a company,A government IOU,A guaranteed paycheck,,,,Equity = residual ownership claim
,Concepts,Where do most U.S. listed stocks trade?,Select the correct answer.,Multiple Choice,1,Exchanges / regulated markets,Only private chat rooms,Company break rooms,Bank vaults only,,,,NYSE/Nasdaq-style venues in SAMPLE teaching
,Concepts,Going long a stock means you generally expect price/value to…,Select the correct answer.,Multiple Choice,1,Rise (or stay valuable over your horizon),Fall immediately,Become a bond,Print risk-free cash,,,,
,Concepts,Going short a stock generally bets that price will…,Select the correct answer.,Multiple Choice,2,Rise sharply,Fall,Stay flat forever,Convert into dividends only,,,,Shorting has asymmetric loss risk
,Concepts,An exchange’s main job for equities is to…,Select the correct answer.,Multiple Choice,1,Match buyers and sellers with public prices,Guarantee every trade is profitable,Print money for traders,Eliminate all volatility,,,,
,Concepts,Investing vs trading — which is more accurate?,Select the correct answer.,Multiple Choice,1,Investing usually uses longer horizons; trading shorter ones,They are identical words,Trading always has zero risk,Investing forbids charts,,,,
,Concepts,Higher expected return usually comes with…,Select the correct answer.,Multiple Choice,3,Zero risk by definition,A government guarantee,Higher risk / uncertainty,Free leverage,,,,
,Concepts,“Hold” often fits best when…,Select the correct answer.,Multiple Choice,2,You need adrenaline this minute,Your thesis and horizon still look intact,You forgot what you bought,The chart is neon green,,,,
,FIB,A ___ is a unit of ownership in a company.,Select the answer that best fills the blank.,Fill in the blank,1,share (stock),bond coupon,futures margin,currency pair,,,,
,TF,Listed equities are risk-free because exchanges guarantee profits.,Select True or False.,True False,2,True,False,,,,,,
,TF,"In Stock Trainer language, Equities means traditional retail stocks / shares.",Select True or False.,True False,1,True,False,,,,,,
,SATA,Which statements about equities are true? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,3,4",Shares are ownership stakes,Exchanges guarantee profits,Long benefits if value rises,Risk and expected return travel together,Shorting has no extra risk,,,
,Flash,"Stock / Share
====
A unit of ownership in a company (equity claim on residual value after debts).","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Flash,"Long vs Short
====
Long benefits if value rises; short bets on a decline (shorting has asymmetric loss risk).","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match each equities term to its meaning.,Drag items into matching slots.,Mix and match,N/A,"Share
===
Ownership unit in a company","Exchange
===
Venue matching buyers/sellers with public prices","Long
===
Benefits if price/value rises","Horizon
===
Time frame that filters noise vs signal",,,,
,Application,"If your goal is multi-year compounding, a useful first filter is…",Select the correct answer.,Multiple Choice,1,Does this fit my risk and time horizon?,Can I double money before lunch?,Is the chart neon green right now?,Did a stranger tip it on social media?,,,,
,Concepts,Owning shares means you own…,Select the correct answer.,Multiple Choice,3,The CEO’s personal house,A guaranteed Fed paycheck,A stake in the company itself,Only yesterday’s rumors,,,,
,Ownership,Common stock typically gives shareholders…,Select the correct answer.,Multiple Choice,2,A fixed coupon forever,Residual ownership (and often voting rights),A guaranteed bank deposit rate,Only bond seniority,,,,Fundamentals: equity vs debt
,Ownership,Preferred stock is generally closer to…,Select the correct answer.,Multiple Choice,1,A hybrid with priority claims vs common (often fixed dividends),A futures delivery notice,A forex pip,A candlestick wick,,,,Intro contrast only
,Ownership,Equity is residual because…,Select the correct answer.,Multiple Choice,3,Shareholders are paid before all creditors,Debt has no claim ever,Debt/liability claims come before equity,Charts erase the balance sheet,,,,
,FIB,An ___ is when a private company first offers shares to the public.,Select the answer that best fills the blank.,Fill in the blank,1,IPO (initial public offering),SMA,pip,margin call,,,,
,Primary vs Secondary,"In the primary market, investors typically buy…",Select the correct answer.,Multiple Choice,1,Newly issued shares from the issuer (e.g. IPO/follow-on),Only used cars,Expired options only,Warehouse receipts only,,,,
,Primary vs Secondary,Most day-to-day stock trading happens in the…,Select the correct answer.,Multiple Choice,2,Primary issuance market only,Secondary market (investors trading among themselves),Company break room,Futures delivery warehouse,,,,
,Exchanges & Brokers,A broker’s common role for retail equity traders is to…,Select the correct answer.,Multiple Choice,1,Route/access orders to markets on your behalf,Guarantee profits,Set the Fed funds rate,Print company earnings,,,,
,Exchanges & Brokers,An exchange helps with…,Select the correct answer.,Multiple Choice,2,Eliminating all risk,Price discovery and matching buyers/sellers,Writing your thesis for you,Making shorting impossible,,,,
,Orders & Liquidity,A market order prioritizes…,Select the correct answer.,Multiple Choice,1,Speed/fill over exact price,Exact limit price over fill certainty,Avoiding the market entirely,Only after-hours filings,,,,
,Orders & Liquidity,A limit order prioritizes…,Select the correct answer.,Multiple Choice,2,Immediate fill at any price,"A specified price (or better), possibly with no fill",Guaranteed overnight gains,Skipping the bid-ask,,,,
,Orders & Liquidity,The bid-ask spread is…,Select the correct answer.,Multiple Choice,1,The gap between highest bid and lowest ask,Always zero in equities,Net income ÷ revenue,A candlestick pattern,,,,
,Orders & Liquidity,Tighter spreads and deeper books usually indicate…,Select the correct answer.,Multiple Choice,3,Worse liquidity,Guaranteed alpha,Better liquidity (easier to trade size),No volatility ever,,,,
,TF,Illiquid stocks can gap and slip more when you trade size.,Select True or False.,True False,1,True,False,,,,,,
,Long Short Margin,Buying on margin means…,Select the correct answer.,Multiple Choice,2,Paying only with dividends,Using borrowed funds to increase exposure (and risk),Shorting automatically,Avoiding all losses,,,,
,Long Short Margin,A short stock position generally has…,Select the correct answer.,Multiple Choice,1,Asymmetric loss potential if price rises without a hard cap,A maximum loss of the premium only (like a long call),Zero borrow risk,No need for a thesis,,,,
,SATA,Which increase risk vs an unlevered long? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,4",Margin borrowing,Shorting,Diversifying across uncorrelated names,Concentrating in one volatile name,Checking filings,,,
,Corporate Actions,A cash dividend is…,Select the correct answer.,Multiple Choice,2,A futures roll,A distribution of cash from the company to shareholders (when declared),An automatic short squeeze,A pip,,,,
,Corporate Actions,A stock split mainly…,Select the correct answer.,Multiple Choice,1,Changes share count and price per share; economic ownership % often unchanged,Creates free money by definition,Converts equity into bonds,Deletes volatility,,,,
,Corporate Actions,A buyback typically means the company…,Select the correct answer.,Multiple Choice,3,Issues new shares only,Shorts its own stock on your behalf,Repurchases its shares (reduces share count when retired),Sets FX rates,,,,
,Indices & ETFs,A stock index (e.g. S&P 500 proxy teaching) is…,Select the correct answer.,Multiple Choice,1,"A basket/measure of many stocks, not one company’s share",A single bond CUSIP,A wallet private key,A margin call,,,,
,Indices & ETFs,An equity ETF commonly offers…,Select the correct answer.,Multiple Choice,2,A LIVE Greeks engine,Diversified exposure via a fund that trades like a stock,Only physical gold delivery,Guaranteed income,,,,
,TF,Owning an index ETF is identical to owning one private company’s entire equity.,Select True or False.,True False,2,True,False,,,,,,
,Market Regimes,A bull market is commonly described as a period of…,Select the correct answer.,Multiple Choice,1,Broadly rising prices / risk appetite,Only falling prices,Zero news,No liquidity,,,,
,Market Regimes,Volatility measures…,Select the correct answer.,Multiple Choice,3,Accounting profit only,Share count only,How much price tends to move (uncertainty of returns),Bid size only,,,,
,Analysis Styles,Fundamental analysis emphasizes…,Select the correct answer.,Multiple Choice,1,"Business value, statements, and economics",Only candle wicks,Only pip math,Ignoring filings,,,,
,Analysis Styles,Technical analysis emphasizes…,Select the correct answer.,Multiple Choice,2,Only tax lots,Price/volume patterns and indicators,Only bond covenants,Ignoring charts forever,,,,
,Analysis Styles,A practical process often…,Select the correct answer.,Multiple Choice,3,Uses neither ever,Uses only neon colors,Combines horizon/risk with evidence from both camps as needed,Requires LIVE theater,,,,
,Market Structure,Regular U.S. equity cash-session hours are commonly taught around…,Select the correct answer.,Multiple Choice,1,~9:30–16:00 Eastern (regular session),24/7 identical to crypto always,Only Sundays,Only when RSI > 70,,,,
,Market Structure,Settlement (educational) means…,Select the correct answer.,Multiple Choice,2,The candle pattern name,When cash/shares officially complete after a trade,A short squeeze,An IPO roadshow only,,,,
,Flash,"Bid vs Ask
====
Bid = highest price buyers currently offer; Ask = lowest price sellers offer. Spread = ask − bid.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
