,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Concepts,Crypto Class in Stock Trainer is primarily for…,Select the correct answer.,Multiple Choice,2,Replacing Beginner Equities Path,SAMPLE browse/drill charts,LIVE exchange custody,Payroll direct deposit,,,,Not the stocks beginner spine
,Concepts,Crypto feeds in the trainer should be labeled as…,Select the correct answer.,Multiple Choice,1,SAMPLE or DELAYED — never LIVE/REAL_TIME theater,LIVE/REAL_TIME guaranteed fills,FDIC-insured cash,Bond coupons,,,,
,Concepts,Bitcoin SAMPLE pack in the trainer is described as…,Select the correct answer.,Multiple Choice,3,A LIVE custody wallet,A stock ownership certificate,SAMPLE crypto browse (STYLIZED),A forex major pair,,,,
,Concepts,The ETH SAMPLE shape is taught as…,Select the correct answer.,Multiple Choice,1,Dump-then-reclaim (distinct from BTC grind),Identical to BTC every bar,Only equity P/E math,A futures delivery notice,,,,
,Concepts,The alt crypto SAMPLE pack emphasizes…,Select the correct answer.,Multiple Choice,2,Government bond duration,Tight chop then breakout,Only dividend aristocrats,Options Greeks,,,,
,FIB,Crypto Class is SAMPLE browse/drill only and does not replace Beginner ___ Path.,Select the answer that best fills the blank.,Fill in the blank,1,Equities,Payroll,Tax,Shipping,,,,
,TF,Crypto browse in this app is the primary traditional retail stocks path.,Select True or False.,True False,2,True,False,,,,,,
,TF,Trainer crypto charts are SAMPLE/STYLIZED educational series.,Select True or False.,True False,1,True,False,,,,,,
,SATA,Which are true for Crypto in this trainer? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,4",SAMPLE educational charts,Useful for candle/indicator drills,Replaces equities beginner path,Not LIVE/REAL_TIME theater,Risk-free by definition,,,
,Flash,"Crypto browse (SAMPLE)
====
Digital-asset SAMPLE charts for candle/indicator drills — not the Beginner stocks path; never LIVE/REAL_TIME theater.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match crypto SAMPLE shapes.,Drag items into matching slots.,Mix and match,N/A,"BTC SAMPLE
===
Browse pack (STYLIZED grind-style tape)","ETH SAMPLE
===
Dump-then-reclaim shape","Alt SAMPLE
===
Tight chop then breakout","Equities path
===
Traditional retail stocks spine",,,,
