,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Concepts,Forex / FX trading means…,Select the correct answer.,Multiple Choice,2,Buying company shares only,Trading one currency against another,Filing corporate 10-Ks,Pricing LIVE options Greeks,,,,SAMPLE spot FX for chart literacy
,Concepts,"In Stock Trainer, Forex class is…",Select the correct answer.,Multiple Choice,1,SAMPLE spot FX for chart literacy,A LIVE FX broker with fills,The primary equities ownership path,A futures delivery warehouse,,,,
,Concepts,EUR/USD Major SAMPLE pack is described as…,Select the correct answer.,Multiple Choice,3,A LIVE ECB feed,Equity P/E compression,Slow upward drift (STYLIZED),Crypto alt breakout only,,,,
,Concepts,USD/JPY Cross SAMPLE pack emphasizes…,Select the correct answer.,Multiple Choice,1,Risk-off dump then partial reclaim (distinct from EURUSD),Identical bars to EURUSD,Stock split math,Bond duration only,,,,
,Concepts,Traditional retail stocks in this app equal which class?,Select the correct answer.,Multiple Choice,2,Forex,Equities,Crypto only,Options Greeks,,,,
,FIB,Forex is trading one ___ against another.,Select the answer that best fills the blank.,Fill in the blank,1,currency,warehouse,password,dividend,,,,
,TF,Stock Trainer Forex packs are a LIVE FX feed / broker.,Select True or False.,True False,2,True,False,,,,,,
,TF,Forex is presented as a SAMPLE Market class after equities fluency.,Select True or False.,True False,1,True,False,,,,,,
,SATA,Which statements match Forex in this trainer? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,3,4",SAMPLE spot FX charts,LIVE broker order routing,Currency pairs (e.g. EUR/USD),Not a replacement for Equities path,Risk-free interest from the app,,,
,Flash,"Forex / FX (SAMPLE)
====
Currency pairs (spot FX) as a SAMPLE Market class — not a LIVE FX feed or broker. Traditional retail stocks = Equities.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Mix,Match FX SAMPLE packs.,Drag items into matching slots.,Mix and match,N/A,"EUR/USD Major
===
Slow upward drift (SAMPLE)","USD/JPY Cross
===
Risk-off dump then partial reclaim","Equities
===
Traditional retail stocks",,,,,
,Ranked,Order a sensible path into Forex study in this app.,Drag into the correct order.,Ranked,N/A,Build equities fluency first,Open Forex SAMPLE class,Compare major vs cross tape shapes,"Remember: SAMPLE, not LIVE broker",,,,
,Application,You need ownership-of-companies practice. Prefer…,Select the correct answer.,Multiple Choice,1,Equities quizzes/path,Only USDJPY SAMPLE,Only crypto alt packs,Skip literacy,,,,
,Concepts,Price formatting for forex majors often uses more decimal places because…,Select the correct answer.,Multiple Choice,2,Stocks never have decimals,FX quotes are typically small incremental moves (pips),Greeks require 0 decimals,Futures forbid decimals,,,,
,Pairs Basics,"In EUR/USD, EUR is the…",Select the correct answer.,Multiple Choice,1,Base currency,Quote currency only,Dividend,Strike,,,,
,Pairs Basics,"In EUR/USD, USD is the…",Select the correct answer.,Multiple Choice,2,Base currency,Quote currency,Underlying future only,Preferred share,,,,
,Pairs Basics,Going long EUR/USD means you expect…,Select the correct answer.,Multiple Choice,1,EUR to strengthen vs USD (pair to rise),USD to strengthen vs EUR always as the long thesis,Stocks to IPO,RSI to vanish,,,,
,Majors Crosses,A major FX pair typically involves…,Select the correct answer.,Multiple Choice,3,Two obscure exotic names only,Only crypto stables,USD and another heavily traded currency (common teaching),Only agricultural futures,,,,
,Majors Crosses,A cross pair (intro) is…,Select the correct answer.,Multiple Choice,1,A pair that does not include USD (e.g. EUR/JPY) — teaching definition varies by desk,Always a stock ETF,A margin call,A doji,,,,
,Pips,A pip (intro) is…,Select the correct answer.,Multiple Choice,2,A stock split,A standardized small price increment used in FX quoting,Net margin,An IPO syndicate,,,,
,Spreads,FX bid-ask spread is a key…,Select the correct answer.,Multiple Choice,1,Transaction cost / liquidity indicator,Accounting liability only,Candlestick wick name,Dividend,,,,
,Spot vs Forward,Spot FX (intro) is…,Select the correct answer.,Multiple Choice,3,Only options premium,Only equity settlement T+2,Near-term exchange of currencies (standard teaching),Physical oil delivery,,,,
,Spot vs Forward,An FX forward (intro) agrees to…,Select the correct answer.,Multiple Choice,2,Ignore rates,Exchange currencies at a future date at a set rate,Issue common stock,Delete pips,,,,
,Leverage,"Retail FX often offers high leverage, which…",Select the correct answer.,Multiple Choice,1,Amplifies gains and losses — account risk can be severe,Removes all risk,Converts FX into bonds,Guarantees income,,,,
,TF,High leverage in FX can wipe an account quickly on small adverse moves.,Select True or False.,True False,1,True,False,,,,,,
,Macro Drivers,Short-run FX often reacts to…,Select the correct answer.,Multiple Choice,2,Only candle colors,"Interest-rate expectations, growth, and risk appetite",Only stock splits,Only warehouse basis,,,,
,Macro Drivers,"A surprise hawkish rate hike in country A, all else equal (simplified), tends to…",Select the correct answer.,Multiple Choice,1,Support currency A vs others,Always destroy currency A,Convert A into equity shares,End trading sessions forever,,,,
,Sessions,FX liquidity is often highest around…,Select the correct answer.,Multiple Choice,3,Only U.S. equity close forever,Only crypto dumps,Overlaps of major sessions (e.g. London–New York),Only weekends,,,,
,Quoting,A quote of 1.1000 on EUR/USD means…,Select the correct answer.,Multiple Choice,1,1 EUR costs 1.10 USD,1 USD costs 1.10 EUR always in that print,A stock price of $1.10,RSI = 1.1,,,,
,Risk,FX trading risks include…,Select the correct answer.,Multiple Choice,2,Only missing dividends,"Leverage, gaps around events, and wrong macro thesis",Guaranteed coupons,No spread costs ever,,,,
,SATA,Which belong to FX fundamentals? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,4,5",Base vs quote currency,Pips,Shareholder voting rights in EUR,Session liquidity patterns,Interest-rate expectations as a driver,,,
,Vs Equities,"Unlike equities, spot FX does not…",Select the correct answer.,Multiple Choice,1,Grant corporate ownership rights in a company,Have a price,React to macro news,Have spreads,,,,
,Trainer Framing,Stock Trainer Forex packs are…,Select the correct answer.,Multiple Choice,2,LIVE broker execution,SAMPLE spot tapes for literacy after equities fluency,A replacement for equities ownership path,Options Greeks,,,,
,FIB,The smallest conventional FX price increment taught as a ___ is often 0.0001 for many pairs.,Select the answer that best fills the blank.,Fill in the blank,1,pip,share,doji,coupon,,,,
,Flash,"Base vs Quote
====
In XXX/YYY, XXX is base (what you’re long/short notionally); YYY is quote (how price is expressed).","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Flash,"Pip
====
Standardized minimal price move unit in FX quoting (e.g. 0.0001 on many pairs).","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
