,Title,Question,Instruction,Question Type,Correct Choice,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Hint
,Concepts,A futures contract is best described as…,Select the correct answer.,Multiple Choice,2,A permanent share of company ownership,An agreement to buy/sell an underlying later at a set price,A LIVE options chain with Greeks,A bank savings account,,,,Trainer shows STYLIZED SAMPLE futures tapes
,Concepts,"In Stock Trainer, Futures class charts are…",Select the correct answer.,Multiple Choice,1,SAMPLE / STYLIZED educational tapes,LIVE exchange fills,Broker order tickets,Guaranteed profit signals,,,,
,Concepts,Which underlying types commonly appear in futures education?,Select the correct answer.,Multiple Choice,3,Only private chat tips,Only CEO houses,"Index, commodity, and similar underlyings",Only NFT avatars,,,,
,Concepts,"Compared with equities (stocks), futures in this app are…",Select the correct answer.,Multiple Choice,2,The primary Beginner Path spine,An expansion SAMPLE browse class,Identical to stock shares,A LIVE brokerage product,,,,
,Concepts,The SAMPLE Index Future pack is described as…,Select the correct answer.,Multiple Choice,1,Stair-step grind with a midday pause,A LIVE ES fill feed,An options Greeks engine,A currency savings rate,,,,
,Concepts,The SAMPLE Energy Future pack emphasizes…,Select the correct answer.,Multiple Choice,2,Identical shape to the index future,Sharp dump then partial reclaim (distinct shape),Only equity ownership rights,Zero volatility forever,,,,
,FIB,Futures are agreements to buy/sell an ___ later at a set price.,Select the answer that best fills the blank.,Fill in the blank,1,underlying,CEO,password,dividend check,,,,
,TF,Stock Trainer Futures packs are LIVE contracts with order routing.,Select True or False.,True False,2,True,False,,,,,,
,TF,"Futures literacy here is for chart practice, not brokerage execution.",Select True or False.,True False,1,True,False,,,,,,
,SATA,Which are true about Futures in this trainer? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,4",SAMPLE/STYLIZED educational data,Contracts reference an underlying,They replace Beginner Equities Path,Not LIVE order routing,Always risk-free,,,
,Flash,"Futures (SAMPLE)
====
Contracts on an underlying (index, commodity, etc.) shown as STYLIZED SAMPLE tapes — not LIVE contracts or order routing.","Flip the card, then choose whether you remembered it.",Flash card,1,Yes,No,,,,,,
,Ranked,Order these steps for reading a SAMPLE futures chart in the trainer.,Drag into the correct order.,Ranked,N/A,Select Futures market class,Open a SAMPLE pack (e.g. index or energy),Study OHLC / candle shape (educational),Do not treat the tape as LIVE fills,,,,
,Mix,Match futures SAMPLE packs to their teaching shape.,Drag items into matching slots.,Mix and match,N/A,"Index Future (SAMPLE)
===
Stair-step grind with midday pause","Energy Future (SAMPLE)
===
Sharp dump then partial reclaim","Equities Beginner Path
===
Traditional retail stocks spine (not futures)",,,,,
,Application,You want traditional retail stock ownership practice. You should primarily use…,Select the correct answer.,Multiple Choice,1,Equities class / Beginner path,Futures SAMPLE packs only,Crypto browse only,Forex majors only,,,,
,Concepts,Symbol style like ES.F / CL.F in SAMPLE packs signals…,Select the correct answer.,Multiple Choice,3,A government bond CUSIP,A bank routing number,Educational futures-style instruments,A flash-card password,,,,
,Contract Basics,Futures are standardized contracts traded on…,Select the correct answer.,Multiple Choice,2,Only private group chats,Organized exchanges/clearing systems (in real markets),Company break rooms,Only OTC rumor boards,,,,Educational market structure
,Contract Basics,Standardization in futures typically covers…,Select the correct answer.,Multiple Choice,1,"Underlying, size, tick, and expiry conventions",Your personal tax rate,Random share counts daily,CEO housing,,,,
,Underlying Classes,Which are common futures underlying categories?,Select the correct answer.,Multiple Choice,3,Only NFT avatars,Only preferred stock,"Indexes, commodities, rates, FX (and more)",Only private mortgages,,,,
,SATA,Which can be futures underlyings in real markets education? (Select all that apply.),"Toggle each correct choice, then confirm.",Multiple Choice,"1,2,3,4",Equity indexes,Energy commodities,Interest-rate products,Currency pairs,Your personal diary,,,
,Spot vs Futures,Spot markets emphasize…,Select the correct answer.,Multiple Choice,1,Near-immediate exchange of the asset/cash,Only multi-year delivery,Guaranteed contango profits,No price discovery,,,,
,Spot vs Futures,A futures price is a…,Select the correct answer.,Multiple Choice,2,Permanent ownership certificate,Agreed future transaction price for a standardized contract,Bank savings APY,Share voting right,,,,
,Expiry & Roll,Futures contracts have…,Select the correct answer.,Multiple Choice,1,Expiration / delivery (or cash settlement) dates,Infinite life like some stocks’ theoretical going concern only,No calendar,Only IPO dates,,,,
,Expiry & Roll,“Rolling” a futures position usually means…,Select the correct answer.,Multiple Choice,3,Deleting the account,Exercising a stock option,Closing a near contract and opening a later-dated one,Paying a dividend,,,,
,Margin & MTM,Initial margin in futures is best thought of as…,Select the correct answer.,Multiple Choice,1,"A performance bond / collateral, not the full notional",The full purchase price of the commodity always,A free gift,Net income,,,,
,Margin & MTM,Mark-to-market means…,Select the correct answer.,Multiple Choice,2,Ignoring daily P&L,Daily gains/losses credited/debited as prices move,Only yearly taxes,A candlestick name,,,,
,TF,Futures margin is typically much smaller than the full notional value — which amplifies gains and losses.,Select True or False.,True False,1,True,False,,,,,,
,Leverage Risk,"Because of leverage, a small adverse move in futures can…",Select the correct answer.,Multiple Choice,1,Trigger large % losses vs margin posted,Never cause losses,Convert futures into stocks,Erase expiry,,,,
,Hedgers vs Speculators,A hedger typically uses futures to…,Select the correct answer.,Multiple Choice,2,Maximize lottery tickets,Offset price risk in a real exposure,Avoid all markets forever,Print money,,,,
